Weight,Activity,Age,Height,Income,Sex
64.9,,41,177.4,5,Female
82.5,,66,175.6,,Male
63.5,0,15,167.5,1.22,Male
,,47,,0.82,Female
7.9,,0,,,Male
29.3,7,9,132.1,,Female
101.5,4,14,171.7,0.7,Male
98,,60,171.3,5,Male
96.1,,45,164.3,3.27,Female
45.8,2,11,152.5,2.48,Female
84,,39,174.9,0.08,Male
81.8,,57,160.1,,Female
14.1,5,2,93.1,2,Male
82,,62,168.9,2.24,Female
92.2,,40,178.8,,Male
69.3,,21,161.6,3.52,Female
84.5,,59,175.9,0.94,Male
58,,17,161.5,2.76,Female
37,5,13,148.3,3.52,Male
66.9,,63,155.1,2.47,Male
56.9,,16,169.5,,Male
82.4,,38,166.3,,Male
63.7,4,14,158.4,1.65,Female
96.2,6,14,179.6,0.82,Male
84.5,,62,158.3,0.6,Female
10,,0,,1.04,Male
16.4,7,2,93.5,3.73,Female
22.2,4,6,121.1,,Male
56.9,,80,153.7,2.1,Female
24,7,7,123,0.53,Male
75.9,,50,151.8,4.68,Female
18.6,7,3,97.1,1.38,Female
63.6,,16,160.9,3,Female
29.2,7,7,123.1,1.03,Male
31.2,7,9,138.4,0.93,Female
15.7,7,3,95,1.07,Male
15.3,5,2,93.5,2.48,Male
15.9,7,2,92.7,0.25,Male
16.8,6,3,101,5,Female
74.3,,28,163.5,2.78,Female
17.4,7,2,94.4,1.74,Male
88.1,,39,160.8,2.24,Female
14.1,7,4,96.8,2.26,Male
16.9,5,6,109.2,4.63,Female
5.5,,0,,1.69,Female
77.6,,54,164.4,1.23,Male
64.5,,80,172.1,1.26,Male
6.3,,0,,0.02,Female
29.3,4,8,127.6,0.92,Male
63.2,,25,181,3.77,Male
11.4,7,2,85.8,4.33,Female
89.4,,72,162.9,,Female
96.3,,55,171.2,5,Male
102.8,,31,170.8,5,Female
10.2,,1,,0.84,Female
69.8,,36,152.9,2.64,Female
101.5,,27,171.2,,Male
9.2,,0,,0.31,Male
73.9,,48,160.3,,Female
6.5,,0,,5,Male
90.8,,42,176.6,2.08,Male
68.9,,31,166.3,,Female
43.5,4,6,129.4,1.96,Female
68.2,7,15,173.2,1.23,Male
68,,70,159.4,1.58,Female
8.5,,0,,3.72,Female
81.6,,74,155.5,1.79,Female
75.9,,60,168.6,0.41,Male
95.1,,55,169.8,2.55,Male
74.9,,70,175.1,,Male
127.5,,45,161.7,1.1,Female
93.2,,35,153.4,2.88,Male
148.1,,35,188.6,0.38,Male
55.3,,80,175.3,1.87,Male
76.6,,16,169.1,0.61,Male
68.4,,32,154.2,5,Female
80.7,,34,172,3.7,Male
80.1,,18,164.3,1.44,Male
7.5,,0,,5,Female
25.2,7,4,109.1,0.99,Male
63.4,,65,160.6,2.51,Male
107.2,,66,158.8,5,Female
66.5,,33,174.5,0.94,Male
55.1,,18,182.1,4.58,Male
64.4,,53,160.8,,Female
66.7,,35,162.6,5,Male
82.3,,45,159.3,1.23,Female
106.9,,25,166.3,1.24,Female
142.2,,38,154.7,1.65,Female
17.6,7,2,97.3,1.31,Male
87.3,,38,179,2.61,Male
71.7,,17,157,5,Female
86.5,,60,152.3,0.7,Female
56.2,,19,160.7,,Female
56.9,,27,170.6,0.08,Female
80.3,,61,177.2,5,Male
137.3,,31,186.5,2.88,Male
77.7,,33,182.6,0,Male
33.4,7,9,138.2,,Male
17.9,7,5,106.6,1.22,Female
16.5,5,4,104,2.5,Female
44.2,,47,152.3,1.03,Female
64,,28,150,0.59,Female
70.8,,23,178.3,,Male
60.6,,25,158,0.97,Female
80.8,,41,178.9,5,Male
83.3,,16,179.3,2.29,Male
12,7,2,87.3,3.53,Female
,7,8,,4.12,Male
80.3,,18,168.8,4.22,Female
75.8,,75,166,1.13,Male
114,,35,157.8,2.06,Female
105.7,,27,177.1,1.67,Male
38.5,7,12,152.1,1.51,Male
25,2,6,122.1,0.81,Male
82.6,,59,175.2,0.49,Male
111.7,,69,182.7,2.12,Male
75.3,,51,166.7,0.76,Female
81,,51,167.8,4.12,Male
64.1,,64,168,3.47,Male
15.5,7,3,102.8,,Male
121.7,,45,163.9,,Female
25.7,0,9,132.2,2,Male
67.3,,46,163.3,2.64,Male
35.6,7,9,136.4,3.72,Male
86.6,,18,171,1.98,Male
93.3,,31,191.8,,Male
65.2,,80,153.8,2.53,Female
60.2,,16,168.7,2.31,Male
80.4,,48,162.7,,Female
31.1,4,9,138.1,5,Female
36.4,7,10,135.5,0.99,Female
66.8,,30,168.8,1.7,Female
,,51,,,Female
,,34,,,Female
105.2,,64,176.3,1.82,Male
57.6,,36,156.5,3.99,Female
40.4,7,9,136.7,1.1,Male
126,5,14,182.8,1.69,Male
92.6,,77,177,5,Male
60,,26,171,5,Female
16.7,7,3,101.8,3.41,Male
50.7,,18,159.7,0.99,Female
61.1,,51,164,4.42,Male
95.8,,56,160.9,1.46,Female
68.1,,26,166.8,1.96,Male
82.3,,60,156.5,0.77,Female
67.5,,66,159,0.96,Female
46,,42,150.8,1.76,Female
71.4,,19,159,2.63,Female
9.4,,0,,0.97,Male
62,,31,158.9,3.22,Female
67.3,5,14,163.1,,Male
46.8,5,15,150.9,3.99,Female
55.7,,35,148.4,0.18,Female
91.3,,59,178,5,Male
99.8,,69,184.4,3.54,Male
21.8,6,7,119.7,1.23,Female
,,19,,0.08,Female
76.9,,28,166.9,,Male
62.5,7,15,167.9,2.14,Male
68.4,,62,155.1,3.97,Female
76.8,,23,174.1,0.68,Male
60.4,,74,155.4,5,Female
14.3,7,2,92.2,0.68,Male
64.5,,22,152,2.27,Female
14.1,7,3,95.7,0.84,Male
83.6,,25,174.7,1.49,Male
60.5,,16,166.6,1.23,Female
60.6,,16,166.5,2.06,Male
24.1,3,6,124.9,2.37,Male
60.2,,55,157.4,3.06,Female
78,,79,168.4,1.87,Female
